,name,artist,playcount
0,Kill Me,Indigo De Souza,13
2,I SEE IT COMING,Nasaya,11
1,MENTHOL*,Jean Dawson,11
3,94 Camry Music,Femdot,10
4,Forever at Last,highschool,10
5,2 ‎a ‎fault,maxime.,8
6,Will You Be? - CFCF Remix,Baltra,7
7,Depends on What I Know,Good Morning,7
8,Brass,Ag Club,6
9,Ghost in You,HALA,6
10,Harness Your Hopes - b-side,Pavement,6
11,LIL FADE,Vince Staples,6
16,MDS (with Theophilus London) - Warehouse Mix,Seb Wildblood,5
18,Selva y mar,Tati Falco,5
17,The Beacon,Simon Doty,5
13,Sleep,People Museum,5
15,Before the Storm,Santi & Tuğçe,5
14,"Amulets/Light On (Amperland, NY)",Pinegrove,5
12,Felt so Free,Isaac Winemiller,5
