,id,name,artist,playlist id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0afGLa6wcYiLLXFZ48ZQpY,Thunder,Roy Blair,søndag,0.667,0.316,0,-9.132,1,0.0262,0.0292,0.00613,0.147,0.156,100.998,audio_features,spotify:track:0afGLa6wcYiLLXFZ48ZQpY,https://api.spotify.com/v1/tracks/0afGLa6wcYiLLXFZ48ZQpY,https://api.spotify.com/v1/audio-analysis/0afGLa6wcYiLLXFZ48ZQpY,313663,4
1,3LH6EfPCeySeuymuK2gWAO,Bedroom,Litany,søndag,0.692,0.452,6,-8.18,1,0.116,0.0358,0.0,0.157,0.623,184.876,audio_features,spotify:track:3LH6EfPCeySeuymuK2gWAO,https://api.spotify.com/v1/tracks/3LH6EfPCeySeuymuK2gWAO,https://api.spotify.com/v1/audio-analysis/3LH6EfPCeySeuymuK2gWAO,186781,4
2,0bonUwkDjTgQ8URsgCcHhH,Cherry Blossom,Raury,søndag,0.805,0.176,7,-20.783,1,0.0617,0.102,5.43e-06,0.2,0.699,124.013,audio_features,spotify:track:0bonUwkDjTgQ8URsgCcHhH,https://api.spotify.com/v1/tracks/0bonUwkDjTgQ8URsgCcHhH,https://api.spotify.com/v1/audio-analysis/0bonUwkDjTgQ8URsgCcHhH,198024,4
3,3rxYhGVE6GHQyAy4CdGfq1,Pink & Blue (RAC Mix),Tycho,søndag,0.671,0.721,5,-7.378,1,0.0384,0.131,0.376,0.199,0.448,118.043,audio_features,spotify:track:3rxYhGVE6GHQyAy4CdGfq1,https://api.spotify.com/v1/tracks/3rxYhGVE6GHQyAy4CdGfq1,https://api.spotify.com/v1/audio-analysis/3rxYhGVE6GHQyAy4CdGfq1,217271,4
4,2H7Nwzydg8ZusjdWkYqsHy,Redstripe Rhapsody,LAUSSE THE CAT,søndag,0.633,0.326,4,-15.05,0,0.326,0.502,0.00164,0.115,0.584,120.043,audio_features,spotify:track:2H7Nwzydg8ZusjdWkYqsHy,https://api.spotify.com/v1/tracks/2H7Nwzydg8ZusjdWkYqsHy,https://api.spotify.com/v1/audio-analysis/2H7Nwzydg8ZusjdWkYqsHy,480000,4
5,1KXQGi1hQcrRd3jA0LSMUh,Neighbourhood,WhoMadeWho,søndag,0.44,0.488,0,-11.969,1,0.0391,0.344,0.592,0.123,0.152,115.08,audio_features,spotify:track:1KXQGi1hQcrRd3jA0LSMUh,https://api.spotify.com/v1/tracks/1KXQGi1hQcrRd3jA0LSMUh,https://api.spotify.com/v1/audio-analysis/1KXQGi1hQcrRd3jA0LSMUh,313227,4
6,2INhKpUdzh7v0j041gZNsz,DHL,Frank Ocean,søndag,0.819,0.458,4,-10.223,0,0.167,0.582,0.173,0.128,0.232,122.981,audio_features,spotify:track:2INhKpUdzh7v0j041gZNsz,https://api.spotify.com/v1/tracks/2INhKpUdzh7v0j041gZNsz,https://api.spotify.com/v1/audio-analysis/2INhKpUdzh7v0j041gZNsz,268893,4
7,0eGVf0SuQ7dY6loPLl6vGL,Before We Drown,boerd,søndag,0.635,0.571,4,-9.12,0,0.0303,0.1,0.00674,0.234,0.307,85.036,audio_features,spotify:track:0eGVf0SuQ7dY6loPLl6vGL,https://api.spotify.com/v1/tracks/0eGVf0SuQ7dY6loPLl6vGL,https://api.spotify.com/v1/audio-analysis/0eGVf0SuQ7dY6loPLl6vGL,231206,4
8,4uBQDAzZ881KYZvW7ZInUn,Stop Selling Her Drugs (feat. Dominic Fike),Bakar,søndag,0.847,0.275,5,-6.44,1,0.113,0.61,0.0,0.0737,0.764,85.007,audio_features,spotify:track:4uBQDAzZ881KYZvW7ZInUn,https://api.spotify.com/v1/tracks/4uBQDAzZ881KYZvW7ZInUn,https://api.spotify.com/v1/audio-analysis/4uBQDAzZ881KYZvW7ZInUn,173349,4
9,3ZGHAc7tq5CQzfK7HsobCa,All I Want,Bob Moses,søndag,0.691,0.514,8,-10.962,1,0.0337,0.0535,0.736,0.111,0.394,116.004,audio_features,spotify:track:3ZGHAc7tq5CQzfK7HsobCa,https://api.spotify.com/v1/tracks/3ZGHAc7tq5CQzfK7HsobCa,https://api.spotify.com/v1/audio-analysis/3ZGHAc7tq5CQzfK7HsobCa,468114,4
10,78jIj6Ph2364zg1ZVIvbIN,Howling - Âme Remix,Howling,søndag,0.615,0.549,6,-10.731,0,0.0321,0.00628,0.0558,0.111,0.125,124.979,audio_features,spotify:track:78jIj6Ph2364zg1ZVIvbIN,https://api.spotify.com/v1/tracks/78jIj6Ph2364zg1ZVIvbIN,https://api.spotify.com/v1/audio-analysis/78jIj6Ph2364zg1ZVIvbIN,485221,4
11,4QhWbupniDd44EDtnh2bFJ,Pyramids,Frank Ocean,søndag,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,audio_features,spotify:track:4QhWbupniDd44EDtnh2bFJ,https://api.spotify.com/v1/tracks/4QhWbupniDd44EDtnh2bFJ,https://api.spotify.com/v1/audio-analysis/4QhWbupniDd44EDtnh2bFJ,592920,4
12,0ZPPbwJD2WVU8HdMsVtChk,Radio Silence,James Blake,søndag,0.532,0.412,2,-9.641,1,0.0319,0.773,0.0234,0.106,0.417,120.086,audio_features,spotify:track:0ZPPbwJD2WVU8HdMsVtChk,https://api.spotify.com/v1/tracks/0ZPPbwJD2WVU8HdMsVtChk,https://api.spotify.com/v1/audio-analysis/0ZPPbwJD2WVU8HdMsVtChk,240537,4
